Product Name,Product Description,Price,Image URL,Product Link,Unique Key,Item Number,Quantity Available,Condition
"Antique silver gravy or cream bowl, no flaws, formal setting.","""This would be gorgeous on a formal table or even just as decor with candy or candles in it. Probably from the '30's, ...",$12.00,https://images-bucket.bonanzastatic.com/afu/images/aaae/6561/caa5_14193369759/DSC02402_thumb200.JPG,https://www.bonanza.com/listings/Antique-silver-gravy-or-cream-bowl-no-flaws-formal-setting-/1643840924,1a84fa7d-947b-4689-8ba3-e3a042e0c807,1643840924,"Only one in stock, order soon",Excellent overall
Soviet antique bust of Lenin - Marks. metall. Original. 196-70,"""Soviet antique bust of Lenin - Marks. metall. Original. 196-70",$140.00,https://images-bucket.bonanzastatic.com/afu/images/172d/ebc2/d93e_12503504726/s-l1600_thumb200.jpg,https://www.bonanza.com/listings/Soviet-antique-bust-of-Lenin-Marks-metall-Original-196-70/1449880146,19667738-70b3-4457-9569-fb007e973538,1449880146,"Only one in stock, order soon",Good - average wear
Please No Trades - Antique Photo,"""Hello and welcome No trades please. As you see we sell to help others. Embrace the charm of the past and make a sta...","$111,111.00",https://images-bucket.bonanzastatic.com/afu/images/2dd2/09e0/2708_12854266977/IMG_2542_thumb200.jpeg,https://www.bonanza.com/listings/Please-No-Trades-Antique-Photo/136417819,82297eb6-c5c7-4089-b28a-2d6a3f27af6f,136417819,"Only one in stock, order soon",Fair - much wear
Steel Warrior Pauldron Medieval Shoulder Armor Set 20g,"""Brand Robin Exports Color Silver Item Dimensions LxWxH 15 x 15 x 15 inches Recommended Uses For Product LARP Them...",$124.00,https://images-bucket.bonanzastatic.com/afu/images/8038/9a8f/8a31_13231564028/41SAR9SixaL._AC__thumb200.jpg,https://www.bonanza.com/listings/Steel-Warrior-Pauldron-Medieval-Shoulder-Armor-Set-20g/1542010567,d49d36ff-7f51-46d8-870e-759f336830df,1542010567,5 in stock,Excellent overall
"old 10"" tall White Statue of Athena - Snake Shield, very detailed","""Welcome to Planet Earth Toys $6.00 Flat Rate Shipping on all Orders!!! for your consideration today is this old very...",$75.00,https://images-bucket.bonanzastatic.com/afu/images/1c6b/bd68/dd07_12414490603/IMG_4995_thumb200.JPG,https://www.bonanza.com/listings/old-10-tall-White-Statue-of-Athena-Snake-Shield-very-detailed/1435223594,1832e795-028a-4fa5-b32c-c5b367d93c8d,1435223594,"Only one in stock, order soon",Used
Vintage Primitive Mardon Push Lawn Edger Trimmer Yard Tool,"""Shows age and heavy wear. Wooden parts have lots of cracks, tire has cracks. Metal parts are rusted, need cleaning, s...",$139.90,https://images-bucket.bonanzastatic.com/afu/images/961a/bfa1/8c80_14207457702/__57_thumb200.png,https://www.bonanza.com/listings/Vintage-Primitive-Mardon-Push-Lawn-Edger-Trimmer-Yard-Tool/1645768621,060e027a-4b8b-4400-a1b4-e2d58bf38c4f,1645768621,"Only one in stock, order soon",Used
4 CAST IRON WEATHERVANE DIRECTIONS EAST WEST NORTH SOUTH 2 SET...,"""2 SETS OF CAST IRON DIRECTIONS FOR WEATHERVANES! 1 IS BLACK COLOR AND 1 IS RUSTIC BROWN COLOR! SALE INCLUDES BOTH SET...",$34.99,https://images-bucket.bonanzastatic.com/afu/images/b995/bfde/55f7_14207005697/__57_thumb200.jpg,https://www.bonanza.com/listings/4-Cast-Iron-Weathervane-Directions-East-West-North-South-2-Sets-Weathervane/1645684724,71f38b79-0751-4fd7-a77c-08bc9814d0ed,1645684724,"Only one in stock, order soon",Used
Vintage Sylvania Black Plastic Switchplate Cover NOS,"""Vintage Sylvania Black Plastic Switchplate Cover NOS This product data sheet is originally written in English. Vint...",$33.60,https://images-bucket.bonanzastatic.com/afu/images/3939/06ad/8395_14203288932/s-l1600_thumb200.jpg,https://www.bonanza.com/listings/Vintage-Sylvania-Black-Plastic-Switchplate-Cover-NOS/1645150135,ee25a415-8050-4b29-a6aa-022502d6823b,1645150135,"Only one in stock, order soon",Used
Vintage American Tack & Howe Co Light Switch Cover Floral rose...,"""Vintage American Tack Howe Co Light Switch Cover Floral rose brass 1967 #60T Brass tone metal outlet cover. Some dis...",$11.00,https://images-bucket.bonanzastatic.com/afu/images/03ed/ce68/b806_14200314949/__57_thumb200.jpg,https://www.bonanza.com/listings/Vintage-American-Tack-Howe-Co-Light-Switch-Cover-Floral-rose-brass-1967-60T/1644718393,03222907-a0da-43f4-bb5b-128e5c442e98,1644718393,"Only one in stock, order soon",Used
Antique Arts Crafts Mission Era Copper Mailbox w Studs,"""Needs some assembly",$74.24,https://images-bucket.bonanzastatic.com/afu/images/3fb0/2bb3/68f2_14202871215/__12_thumb200.jpg,https://www.bonanza.com/listings/Antique-Arts-Crafts-Mission-Era-Copper-Mailbox-w-Studs/1645086090,3ed0be54-dc6d-43c8-9d53-f7693c44610d,1645086090,"Only one in stock, order soon",Used
